college	tuition
AmInt	19800
Amherst	31364
AnnaM	20335
Assump	22425
AtUnion	13560
Babson	28832
BayPath	19440
Becker	18420
Bentley	27444
BC	29396
BU	31966
Brand	31072
BridSt	4682
Camb	9000
Clark	29565
HolyC	31444
Curry	22750
ENaz	17434
Elms	19970
Emerson	23495
Emman	20500
End	20390
FitSt	4588
FramSt	4740
Gordon	22924
Hamp	30978
Harv	32097
Lasell	19700
Lesl	28305
MaLib	5417
MIT	32300
Merr	22100
MtHo	30938
MiIda	19096
Newb	17100
Nich	20810
NorEas	26990
PineM	15544
Regis	20500
SalemSt	5453
Simm	25440
SRock	30687
Smith	29156
Sprin	21595
Stone	23008
Suff	19910
Tufts	30969
UMAm	9008
UMBos	8024
UMDart	7802
UMLow	7891
Well	29796
WestNE	21986
WestSt	4857
Wheat	30700
Wheel	22500
Willia	29990
WorPol	30932
WorSt	4316
