date	depth
8/16/00	.23
8/17/00	.23
8/18/00	.22
8/19/00	.22
8/20/00	.22
8/21/00	.21
8/22/00	.21
8/23/00	.21
8/24/00	.2
8/25/00	.2
8/26/00	.2
8/27/00	.2
8/28/00	.21
8/29/00	.22
8/30/00	.26
8/31/00	.26
9/1/00	.27
9/2/00	.27
9/3/00	.27
9/4/00	.27
9/5/00	.27
9/6/00	.27
9/7/00	.28
9/8/00	.28
9/9/00	.28
9/10/00	.29
9/11/00	.29
9/12/00	.32
9/13/00	.33
9/14/00	.32
9/15/00	.32
9/16/00	.33
9/17/00	.32
9/18/00	.33
9/19/00	.33
9/20/00	.34
9/21/00	.34
9/22/00	.33
9/23/00	.33
9/24/00	.32
9/25/00	.31
9/26/00	.31
9/27/00	.3
9/28/00	.3
9/29/00	.3
9/30/00	.32
10/1/00	.32
10/2/00	.31
10/3/00	.37
10/4/00	.52
10/5/00	.52
10/6/00	.52
10/7/00	.51
10/8/00	.5
10/9/00	.49
10/10/00	.47
10/11/00	.47
10/12/00	.46
10/13/00	.45
10/14/00	.45
10/15/00	.44
10/16/00	.44
10/17/00	.44
10/18/00	.43
10/19/00	.43
10/20/00	.43
10/21/00	.43
10/22/00	.43
10/23/00	.43
10/24/00	.43
10/25/00	.43
10/26/00	.43
10/27/00	.43
10/28/00	.43
10/29/00	.43
10/30/00	.43
10/31/00	.43
11/1/00	.43
11/2/00	.43
11/3/00	.43
11/4/00	.43
11/5/00	.43
11/6/00	.43
11/7/00	.43
11/8/00	.43
11/9/00	.43
11/10/00	.43
11/11/00	.43
11/12/00	.42
11/13/00	.42
11/14/00	.42
11/15/00	.41
11/16/00	.41
11/17/00	.4
11/18/00	.39
11/19/00	.39
11/20/00	.38
11/21/00	.38
11/22/00	.37
11/23/00	.37
11/24/00	.36
11/25/00	.36
11/26/00	.36
11/27/00	.35
11/28/00	.35
11/29/00	.34
11/30/00	.34
12/1/00	.33
12/2/00	.33
12/3/00	.33
12/4/00	.32
12/5/00	.31
12/6/00	.31
12/7/00	.31
12/8/00	.31
12/9/00	.3
12/10/00	.31
12/11/00	.34
12/12/00	.34
12/13/00	.34
12/14/00	.34
12/15/00	.33
12/16/00	.33
12/17/00	.32
12/18/00	.31
12/19/00	.31
12/20/00	.3
12/21/00	.3
12/22/00	.3
12/23/00	.29
12/24/00	.29
12/25/00	.28
12/26/00	.28
12/27/00	.28
12/28/00	.27
12/29/00	.27
12/30/00	.27
12/31/00	.26
1/1/01	.26
1/2/01	.25
1/3/01	.25
1/4/01	.24
1/5/01	.24
1/6/01	.24
1/7/01	.23
1/8/01	.23
1/9/01	.23
1/10/01	.22
1/11/01	.22
1/12/01	.21
1/13/01	.21
1/14/01	.21
1/15/01	.21
1/16/01	.21
1/17/01	.2
1/18/01	.2
1/19/01	.19
1/20/01	.2
1/21/01	.2
1/22/01	.19
1/23/01	.19
1/24/01	.19
1/25/01	.18
1/26/01	.18
1/27/01	.17
1/28/01	.17
1/29/01	.17
1/30/01	.17
1/31/01	.16
2/1/01	.16
2/2/01	.16
2/3/01	.15
2/4/01	.15
2/5/01	.15
2/6/01	.14
2/7/01	.14
2/8/01	.13
2/9/01	.13
2/10/01	.13
2/11/01	.12
2/12/01	.12
2/13/01	.11
2/14/01	.11
2/15/01	.1
2/16/01	.1
2/17/01	.1
2/18/01	.09
2/19/01	.09
2/20/01	.08
2/21/01	.08
2/22/01	.08
2/23/01	.07
2/24/01	.07
2/25/01	.06
2/26/01	.06
2/27/01	.06
2/28/01	.05
3/1/01	.05
3/2/01	.05
3/3/01	.04
3/4/01	.04
3/5/01	.08
3/6/01	.07
3/7/01	.07
3/8/01	.06
3/9/01	.06
3/10/01	.06
3/11/01	.05
3/12/01	.05
3/13/01	.02
3/14/01	.02
3/15/01	.01
3/16/01	.01
3/17/01	0
3/18/01	.01
3/19/01	.03
3/20/01	.05
3/21/01	.05
3/22/01	.04
3/23/01	.04
3/24/01	.03
3/25/01	.03
3/26/01	.02
3/27/01	.02
3/28/01	.01
3/29/01	.03
3/30/01	.03
3/31/01	.02
4/1/01	.02
4/2/01	.02
4/3/01	.01
4/4/01	0
4/5/01	0
4/6/01	-.01
4/7/01	-.01
4/8/01	-.02
4/9/01	-.02
4/10/01	-.03
4/11/01	-.03
4/12/01	-.04
4/13/01	-.04
4/14/01	-.05
4/15/01	-.06
4/16/01	-.06
4/17/01	-.07
4/18/01	-.08
4/19/01	-.09
4/20/01	-.1
4/21/01	-.1
4/22/01	-.11
4/23/01	-.12
4/24/01	-.13
4/25/01	-.14
4/26/01	-.13
4/27/01	-.14
4/28/01	-.15
4/29/01	-.16
4/30/01	-.15
5/1/01	-.15
5/2/01	-.15
5/3/01	-.16
5/4/01	-.13
5/5/01	-.14
5/6/01	-.15
5/7/01	-.17
5/8/01	-.18
5/9/01	-.19
5/10/01	-.21
5/11/01	-.22
5/12/01	-.23
5/13/01	-.24
5/14/01	-.26
5/15/01	-.27
5/16/01	-.27
5/17/01	-.29
5/18/01	-.3
5/19/01	-.31
5/20/01	-.32
5/21/01	-.33
5/22/01	-.34
5/23/01	-.31
5/24/01	-.22
5/25/01	-.23
5/26/01	-.23
5/27/01	-.24
5/28/01	-.24
5/29/01	-.24
5/30/01	-.25
5/31/01	-.27
6/1/01	-.28
6/2/01	-.2
6/3/01	-.2
6/4/01	-.14
6/5/01	-.15
6/6/01	-.15
6/7/01	-.16
6/8/01	-.14
6/9/01	-.14
6/10/01	-.15
6/11/01	-.15
6/12/01	-.16
6/13/01	-.18
6/14/01	-.15
6/15/01	-.15
6/16/01	-.06
6/17/01	-.06
6/18/01	-.05
6/19/01	-.05
6/20/01	-.05
6/21/01	-.06
6/22/01	-.06
6/23/01	-.03
6/24/01	-.03
6/25/01	-.04
6/26/01	-.04
6/27/01	-.04
6/28/01	-.02
6/29/01	-.01
6/30/01	-.01
7/1/01	-.02
7/2/01	-.02
7/3/01	-.03
7/4/01	-.03
7/5/01	-.04
7/6/01	-.04
7/7/01	-.05
7/8/01	.01
7/9/01	.03
7/10/01	.08
7/11/01	.08
7/12/01	.1
7/13/01	.1
7/14/01	.09
7/15/01	.12
7/16/01	.16
7/17/01	.15
7/18/01	.15
7/19/01	.15
7/20/01	.16
7/21/01	.18
7/22/01	.21
7/23/01	.21
7/24/01	.22
7/25/01	.21
7/26/01	.21
7/27/01	.2
7/28/01	.19
7/29/01	.18
7/30/01	.17
7/31/01	.16
8/1/01	.19
8/2/01	.24
8/3/01	.26
8/4/01	.26
8/5/01	.25
8/6/01	.27
8/7/01	.27
8/8/01	.26
8/9/01	.25
8/10/01	.27
8/11/01	.26
8/12/01	.26
8/13/01	.26
8/14/01	.25
8/15/01	.25
8/16/01	.25
8/17/01	.26
8/18/01	.26
8/19/01	.25
8/20/01	.25
8/21/01	.26
8/22/01	.27
8/23/01	.27
8/24/01	.27
8/25/01	.27
8/26/01	.27
8/27/01	.27
8/28/01	.27
8/29/01	.27
8/30/01	.27
8/31/01	.27
9/1/01	.27
9/2/01	.28
9/3/01	.28
9/4/01	.29
9/5/01	.29
9/6/01	.29
9/7/01	.29
9/8/01	.31
9/9/01	.32
9/10/01	.32
9/11/01	.33
9/12/01	.42
9/13/01	.41
9/14/01	.44
9/15/01	.43
9/16/01	.42
9/17/01	.41
9/18/01	.43
9/19/01	.44
9/20/01	.43
9/21/01	.42
9/22/01	.41
9/23/01	.4
9/24/01	.4
9/25/01	.39
9/26/01	.39
9/27/01	.39
9/28/01	.41
9/29/01	.54
9/30/01	.53
10/1/01	.52
10/2/01	.51
10/3/01	.5
10/4/01	.52
10/5/01	.51
10/6/01	.51
10/7/01	.5
10/8/01	.49
10/9/01	.51
10/10/01	.51
10/11/01	.5
10/12/01	.49
10/13/01	.49
10/14/01	.49
10/15/01	.49
10/16/01	.48
10/17/01	.49
10/18/01	.48
10/19/01	.49
10/20/01	.5
10/21/01	.54
10/22/01	.59
10/23/01	.58
10/24/01	.58
10/25/01	.57
10/26/01	.57
10/27/01	.56
10/28/01	.55
10/29/01	.54
10/30/01	.54
10/31/01	.54
11/1/01	.53
11/2/01	.53
11/3/01	.53
11/4/01	.53
11/5/01	.55
11/6/01	.55
11/7/01	.55
11/8/01	.54
11/9/01	.54
11/10/01	.54
11/11/01	.53
11/12/01	.53
11/13/01	.53
11/14/01	.53
11/15/01	.53
11/16/01	.52
11/17/01	.52
11/18/01	.52
11/19/01	.52
11/20/01	.52
11/21/01	.52
11/22/01	.52
11/23/01	.51
11/24/01	.51
11/25/01	.51
11/26/01	.51
11/27/01	.51
11/28/01	.5
11/29/01	.5
11/30/01	.5
12/1/01	.5
12/2/01	.5
12/3/01	.5
12/4/01	.5
12/5/01	.5
12/6/01	.51
12/7/01	.51
12/8/01	.51
12/9/01	.5
12/10/01	.53
12/11/01	.52
12/12/01	.52
12/13/01	.51
12/14/01	.5
12/15/01	.49
12/16/01	.48
12/17/01	.48
12/18/01	.47
12/19/01	.46
12/20/01	.45
12/21/01	.44
12/22/01	.43
12/23/01	.42
12/24/01	.41
12/25/01	.4
12/26/01	.4
12/27/01	.39
12/28/01	.39
12/29/01	.38
12/30/01	.37
12/31/01	.36
1/1/02	.37
1/2/02	.36
1/3/02	.36
1/4/02	.36
1/5/02	.35
1/6/02	.34
1/7/02	.33
1/8/02	.32
1/9/02	.32
1/10/02	.31
1/11/02	.3
1/12/02	.3
1/13/02	.29
1/14/02	.29
1/15/02	.28
1/16/02	.28
1/17/02	.27
1/18/02	.27
1/19/02	.26
1/20/02	.26
1/21/02	.25
1/22/02	.25
1/23/02	.24
1/24/02	.24
1/25/02	.23
1/26/02	.23
1/27/02	.22
1/28/02	.22
1/29/02	.21
1/30/02	.21
1/31/02	.2
2/1/02	.2
2/2/02	.2
2/3/02	.2
2/4/02	.19
2/5/02	.19
2/6/02	.18
2/7/02	.18
2/8/02	.17
2/9/02	.17
2/10/02	.21
2/11/02	.2
2/12/02	.19
2/13/02	.19
2/14/02	.18
2/15/02	.18
2/16/02	.18
2/17/02	.18
2/18/02	.17
2/19/02	.17
2/20/02	.16
2/21/02	.16
2/22/02	.15
2/23/02	.19
2/24/02	.18
2/25/02	.18
2/26/02	.18
2/27/02	.17
2/28/02	.17
3/1/02	.17
3/2/02	.16
3/3/02	.16
3/4/02	.15
3/5/02	.15
3/6/02	.14
3/7/02	.14
3/8/02	.14
3/9/02	.14
3/10/02	.13
3/11/02	.13
3/12/02	.12
3/13/02	.12
3/14/02	.11
3/15/02	.11
3/16/02	.1
3/17/02	.1
3/18/02	.09
3/19/02	.09
3/20/02	.08
3/21/02	.08
3/22/02	.07
3/23/02	.07
3/24/02	.05
3/25/02	.04
3/26/02	.04
3/27/02	.05
3/28/02	.05
3/29/02	.05
3/30/02	.04
3/31/02	.04
4/1/02	.04
4/2/02	.04
4/3/02	.03
4/4/02	.05
4/5/02	.05
4/6/02	.05
4/7/02	.05
4/8/02	.05
4/9/02	.04
4/10/02	.04
4/11/02	.04
4/12/02	.04
4/13/02	.03
4/14/02	.03
4/15/02	.03
4/16/02	.02
4/17/02	.02
4/18/02	.02
4/19/02	.02
4/20/02	.01
4/21/02	.01
4/22/02	0
4/23/02	0
4/24/02	-.01
4/25/02	-.01
4/26/02	-.02
4/27/02	-.03
4/28/02	-.03
4/29/02	-.04
4/30/02	-.05
5/1/02	-.05
5/2/02	-.06
5/3/02	-.07
5/4/02	-.07
5/5/02	-.08
5/6/02	-.09
5/7/02	-.1
5/8/02	-.1
5/9/02	-.11
5/10/02	-.12
5/11/02	-.14
5/12/02	-.15
5/13/02	-.16
5/14/02	-.15
5/15/02	-.16
5/16/02	-.13
5/17/02	-.13
5/18/02	-.14
5/19/02	-.1
5/20/02	-.06
5/21/02	-.06
5/22/02	-.06
5/23/02	-.06
5/24/02	-.06
5/25/02	-.07
5/26/02	-.08
5/27/02	-.05
5/28/02	.02
5/29/02	.03
5/30/02	.02
5/31/02	.04
6/1/02	.07
6/2/02	.08
6/3/02	.08
6/4/02	.08
6/5/02	.07
6/6/02	.07
6/7/02	.07
6/8/02	.1
6/9/02	.11
6/10/02	.11
6/11/02	.12
6/12/02	.13
6/13/02	.15
6/14/02	.15
6/15/02	.28
6/16/02	.32
6/17/02	.31
6/18/02	.3
6/19/02	.29
6/20/02	.28
6/21/02	.32
6/22/02	.33
6/23/02	.32
6/24/02	.32
6/25/02	.33
6/26/02	.34
6/27/02	.32
6/28/02	.35
6/29/02	.33
6/30/02	.32
7/1/02	.31
7/2/02	.31
7/3/02	.31
7/4/02	.3
7/5/02	.3
7/6/02	.3
7/7/02	.32
7/8/02	.34
7/9/02	.36
7/10/02	.36
7/11/02	.37
7/12/02	.38
7/13/02	.39
7/14/02	.39
7/15/02	.39
7/16/02	.39
7/17/02	.4
7/18/02	.4
7/19/02	.4
7/20/02	.39
7/21/02	.39
7/22/02	.39
7/23/02	.39
7/24/02	.39
7/25/02	.38
7/26/02	.38
7/27/02	.38
