state	pct	satv	satm	total
NewYork	87	497	510	1007
Connecticut	85	515	515	1030
Massachusetts	85	518	523	1041
NewJersey	83	501	514	1015
NewHampshire	80	522	521	1043
D.C.	77	489	476	965
Maine	76	505	501	1006
Pennsylvania	74	501	502	1003
Delaware	73	500	499	999
Georgia	73	494	493	987
RhodeIsland	72	503	502	1005
Virginia	71	515	509	1024
NorthCarolina	70	499	507	1006
Maryland	68	511	515	1026
Florida	67	499	499	998
Vermont	66	516	512	1028
Indiana	64	501	506	1007
SouthCarolina	62	491	495	986
Hawaii	60	487	514	1001
Oregon	56	527	528	1055
Alaska	53	518	514	1032
Texas	52	493	499	992
Washington	52	528	531	1059
California	49	501	519	1020
Nevada	40	507	514	1021
Arizona	32	523	524	1047
Montana	29	537	539	1076
Ohio	28	538	542	1080
Colorado	27	554	553	1107
Idaho	20	540	539	1079
WestVirginia	19	524	514	1038
Tennessee	16	567	557	1124
NewMexico	14	554	543	1097
Kentucky	12	559	557	1116
Wyoming	12	551	546	1097
Michigan	11	563	573	1136
Alabama	10	560	553	1113
Illinois	10	585	597	1182
Minnesota	10	587	593	1180
Kansas	9	584	585	1169
Louisiana	8	564	561	1125
Missouri	8	587	585	1172
Nebraska	8	569	576	1145
Oklahoma	7	569	566	1135
Utah	7	565	556	1121
Wisconsin	7	587	596	1183
Arkansas	6	569	555	1124
Iowa	5	593	602	1195
Mississippi	5	562	547	1109
NorthDakota	5	582	601	1183
SouthDakota	5	594	597	1191
