QualityOfLife	Country
AboutTheSame	UnitedStates
AboutTheSame	Canada
SomewhatBetter	UnitedStates
MuchWorse	UnitedStates
SomewhatBetter	UnitedStates
SomewhatBetter	UnitedStates
AboutTheSame	UnitedStates
AboutTheSame	UnitedStates
MuchWorse	Canada
AboutTheSame	Canada
MuchBetter	UnitedStates
MuchBetter	UnitedStates
AboutTheSame	UnitedStates
MuchBetter	Canada
SomewhatBetter	UnitedStates
MuchBetter	UnitedStates
SomewhatBetter	UnitedStates
MuchBetter	UnitedStates
SomewhatBetter	UnitedStates
SomewhatWorse	Canada
SomewhatBetter	UnitedStates
MuchBetter	UnitedStates
SomewhatBetter	UnitedStates
SomewhatWorse	UnitedStates
AboutTheSame	UnitedStates
AboutTheSame	UnitedStates
SomewhatWorse	UnitedStates
MuchBetter	UnitedStates
SomewhatWorse	UnitedStates
AboutTheSame	Canada
AboutTheSame	UnitedStates
SomewhatWorse	UnitedStates
SomewhatWorse	UnitedStates
AboutTheSame	UnitedStates
AboutTheSame	UnitedStates
SomewhatBetter	UnitedStates
AboutTheSame	UnitedStates
MuchBetter	UnitedStates
MuchBetter	Canada
AboutTheSame	UnitedStates
MuchBetter	UnitedStates
MuchBetter	UnitedStates
AboutTheSame	UnitedStates
SomewhatBetter	UnitedStates
SomewhatWorse	UnitedStates
AboutTheSame	UnitedStates
AboutTheSame	Canada
SomewhatWorse	UnitedStates
SomewhatWorse	UnitedStates
AboutTheSame	UnitedStates
AboutTheSame	UnitedStates
SomewhatWorse	UnitedStates
AboutTheSame	UnitedStates
SomewhatBetter	UnitedStates
MuchBetter	UnitedStates
MuchBetter	UnitedStates
SomewhatBetter	Canada
SomewhatWorse	UnitedStates
MuchBetter	UnitedStates
AboutTheSame	UnitedStates
SomewhatBetter	UnitedStates
AboutTheSame	UnitedStates
SomewhatBetter	UnitedStates
SomewhatBetter	UnitedStates
AboutTheSame	UnitedStates
SomewhatBetter	Canada
AboutTheSame	UnitedStates
MuchBetter	UnitedStates
SomewhatBetter	UnitedStates
SomewhatBetter	Canada
AboutTheSame	UnitedStates
AboutTheSame	UnitedStates
SomewhatWorse	UnitedStates
SomewhatWorse	Canada
MuchBetter	UnitedStates
MuchBetter	UnitedStates
AboutTheSame	UnitedStates
MuchBetter	UnitedStates
MuchBetter	UnitedStates
AboutTheSame	Canada
AboutTheSame	UnitedStates
AboutTheSame	Canada
SomewhatBetter	UnitedStates
AboutTheSame	UnitedStates
SomewhatBetter	UnitedStates
SomewhatBetter	UnitedStates
MuchBetter	UnitedStates
AboutTheSame	UnitedStates
AboutTheSame	UnitedStates
MuchBetter	UnitedStates
SomewhatBetter	UnitedStates
AboutTheSame	UnitedStates
AboutTheSame	UnitedStates
SomewhatBetter	UnitedStates
AboutTheSame	UnitedStates
AboutTheSame	Canada
SomewhatBetter	UnitedStates
SomewhatBetter	UnitedStates
SomewhatWorse	UnitedStates
AboutTheSame	UnitedStates
AboutTheSame	UnitedStates
SomewhatWorse	UnitedStates
SomewhatBetter	UnitedStates
MuchBetter	UnitedStates
MuchBetter	Canada
SomewhatBetter	UnitedStates
AboutTheSame	UnitedStates
AboutTheSame	UnitedStates
MuchBetter	UnitedStates
