year	tbill	stock
1950	1.22	29.86
1951	1.49	20.86
1952	1.65	13.33
1953	1.83	0.33
1954	0.86	50.28
1955	1.57	25.31
1956	2.47	8.40
1957	3.15	-10.55
1958	1.53	44.81
1959	2.98	13.10
1960	2.67	0.84
1961	2.12	27.43
1962	2.73	-10.34
1963	3.11	20.87
1964	3.53	16.30
1965	3.92	14.36
1966	4.75	-8.69
1967	4.21	28.59
1968	5.22	14.16
1969	6.57	-10.85
1970	6.52	0.06
1971	4.39	16.19
1972	3.84	17.34
1973	6.93	-18.78
1974	8.01	-27.87
1975	5.80	37.38
1976	5.08	26.77
1977	5.13	-2.97
1978	7.19	8.54
1979	10.38	24.40
1980	11.26	33.21
1981	14.72	-3.98
1982	10.53	20.43
1983	8.80	22.71
1984	9.84	3.27
1985	7.72	31.46
1986	6.16	15.61
1987	5.47	1.75
1988	6.36	17.59
1989	8.38	28.53
1990	7.84	-6.03
1991	5.60	33.58
1992	3.50	9.02
1993	2.90	10.67
1994	3.91	0.06
1995	5.60	36.41
1996	5.20	21.56
1997	5.25	31.48
1998	4.85	24.31
1999	4.69	24.23
2000	5.69	-10.89
2001	3.33	-10.97
2002	1.61	-20.86
2003	1.03	31.64
