month	return
198501	7.78
198502	1.11
198503	-.82
198504	-.98
198505	5.19
198506	1.20
198507	-.74
198508	-1.0
198509	-4.46
198510	4.01
198511	6.44
198512	3.90
198601	.50
198602	7.10
198603	4.87
198604	-1.3
198605	4.69
198606	1.04
198607	-6.43
198608	6.20
198609	-8.56
198610	4.73
198611	1.20
198612	-3.16
198701	12.50
198702	4.23
198703	1.63
198704	-2.10
198705	.20
198706	4.03
198707	3.86
198708	3.51
198709	-2.61
198710	-23.00
198711	-7.73
198712	6.78
198801	4.32
198802	4.68
198803	-2.39
198804	.50
198805	-.1
198806	4.73
198807	-1.2
198808	-3.32
198809	3.30
198810	1.24
198811	-2.26
198812	1.49
198901	6.04
198902	-2.29
198903	1.53
198904	4.35
198905	3.38
198906	-1.2
198907	7.17
198908	1.42
198909	-.79
198910	-3.67
198911	1.05
198912	1.22
199001	-7.71
199002	1.10
199003	1.82
199004	-3.40
199005	8.36
199006	-1.1
199007	-1.87
199008	-10.1
199009	-6.09
199010	-1.86
199011	6.36
199012	2.47
199101	4.63
199102	7.19
199103	2.63
199104	-.2
199105	3.66
199106	-4.90
199107	4.25
199108	2.31
199109	-1.62
199110	1.23
199111	-4.16
199112	10.82
199201	-.80
199202	1.09
199203	-2.57
199204	1.39
199205	.37
199206	-2.26
199207	3.81
199208	-2.37
199209	1.16
199210	.99
199211	4.02
199212	1.47
199301	1.05
199302	.51
199303	2.22
199304	-3.03
199305	2.71
199306	.28
199307	-.40
199308	3.67
199309	-.1
199310	1.37
199311	-1.85
199312	1.66
199401	2.82
199402	-2.52
199403	-4.72
199404	.69
199405	.59
199406	-3.03
199407	2.75
199408	4.05
199409	-2.33
199410	1.29
199411	-4.06
199412	.90
199501	1.72
199502	3.74
199503	2.18
199504	2.19
199505	2.89
199506	2.63
199507	3.65
199508	.54
199509	3.29
199510	-1.52
199511	3.91
199512	1.08
199601	2.29
199602	1.23
199603	.79
199604	2.05
199605	2.35
199606	-1.0
199607	-5.95
199608	2.76
199609	4.96
199610	.93
199611	6.33
199612	-1.66
199701	5.00
199702	-.49
199703	-5.02
199704	4.09
199705	6.68
199706	4.04
199707	7.39
199708	-4.08
199709	5.28
199710	-3.84
199711	3.02
199712	1.39
199801	.10
199802	7.03
199803	4.65
199804	.73
199805	-3.02
199806	3.17
199807	-2.39
199808	-15.99
199809	6.18
199810	7.02
199811	5.99
199812	6.24
199901	3.60
199902	-4.16
199903	3.45
199904	4.24
199905	-2.22
199906	4.89
199907	-3.45
199908	-1.3
199909	-2.72
199910	5.82
199911	3.27
199912	7.38
200001	-4.60
200002	2.37
200003	5.71
200004	-6.25
200005	-4.25
200006	4.41
200007	-2.47
200008	7.03
200009	-5.56
200010	-2.53
200011	-10.63
200012	1.26
200101	3.36
200102	-10.0
200103	-7.28
200104	8.08
200105	.74
200106	-1.93
200107	-2.12
200108	-6.37
200109	-9.29
200110	2.47
200111	7.64
200112	1.52
200201	-1.44
200202	-2.31
200203	4.31
200204	-5.27
200205	-1.38
200206	-7.17
200207	-8.25
200208	.42
200209	-10.44
200210	7.90
200211	6.01
200212	-5.82
200301	-2.51
200302	-1.79
200303	1.06
200304	8.16
200305	6.08
200306	1.37
200307	2.36
200308	2.27
200309	-1.24
200310	6.07
200311	1.29
200312	4.36
200401	2.07
200402	1.33
200403	-1.29
200404	-1.84
200405	1.24
200406	1.85
200407	-4.04
200408	0.06
200409	1.62
200410	1.45
200411	4.56
200412	3.39
200501	-2.75
200502	1.90
200503	-1.87
