year	month	price
1995	Mar	185.3
1995	Apr	195.1
1995	May	208.3
1995	Jun	226.5
1995	Jul	238.0
1995	Aug	257.3
1995	Sep	291.6
1995	Oct	277.9
1995	Nov	236.8
1995	Dec	206.7
1996	Jan	191.9
1996	Feb	194.9
1996	Mar	197.8
1996	Apr	209.7
1996	May	232.8
1996	Jun	242.1
1996	Jul	254.6
1996	Aug	295.4
1996	Sep	332.1
1996	Oct	290.1
1996	Nov	230.1
1996	Dec	199.6
1997	Jan	187.4
1997	Feb	194.3
1997	Mar	190.1
1997	Apr	202.1
1997	May	224.7
1997	Jun	234.4
1997	Jul	242.9
1997	Aug	284.7
1997	Sep	298.5
1997	Oct	259.1
1997	Nov	205.6
1997	Dec	189.3
1998	Jan	201.3
1998	Feb	197.7
1998	Mar	197.6
1998	Apr	213.7
1998	May	235.4
1998	Jun	265.9
1998	Jul	295.3
1998	Aug	318.5
1998	Sep	323.7
1998	Oct	301.0
1998	Nov	243.0
1998	Dec	224.3
1999	Jan	278.2
1999	Feb	292.5
1999	Mar	287.2
1999	Apr	309.8
1999	May	352.0
1999	Jun	383.5
1999	Jul	397.3
1999	Aug	416.4
1999	Sep	415.7
1999	Oct	370.1
1999	Nov	302.1
1999	Dec	239.3
2000	Jan	240.5
2000	Feb	242.6
2000	Mar	237.2
2000	Apr	235.7
2000	May	247.9
2000	Jun	253.9
2000	Jul	276.5
2000	Aug	307.0
2000	Sep	312.7
2000	Oct	288.8
2000	Nov	227.0
2000	Dec	214.7
2001	Jan	224.2
2001	Feb	229.6
2001	Mar	228.8
2001	Apr	247.9
2001	May	260.0
2001	Jun	284.4
2001	Jul	308.7
2001	Aug	319.8
2001	Sep	329.7
2001	Oct	314.3
2001	Nov	270.6
2001	Dec	242.2
2002	Jan	248.3
2002	Feb	253.4
2002	Mar	256.2
2002	Apr	265.4
2002	May	290.1
2002	Jun	301.1
2002	Jul	303.0
2002	Aug	338.2
2002	Sep	350.3
2002	Oct	339.2
2002	Nov	310.8
2002	Dec	278.8
2003	Jan	260.3
2003	Feb	253.1
2003	Mar	255.2
2003	Apr	259.7
2003	May	279.6
2003	Jun	305.7
2003	Jul	331.1
2003	Aug	363.5
2003	Sep	369.5
2003	Oct	346.8
2003	Nov	305.2
2003	Dec	294.3
2004	Jan	278.4
2004	Feb	268.6
2004	Mar	267.4
2004	Apr	283.5
2004	May	290.1
2004	Jun	318.8
2004	Jul	361.2
2004	Aug	383.1
2004	Sep	399.5
2004	Oct	432.7
2004	Nov	372.4
2004	Dec	313.7
2005	Jan	303.5
2005	Feb	294.7
2005	Mar	288.0
