Penalty	Victim	Defendant
Not	White	White
Not	Black	Black
Not	White	White
Not	Black	Black
Death	White	Black
Not	White	White
Not	White	White
Not	Black	Black
Death	White	White
Not	Black	Black
Not	White	Black
Not	Black	Black
Not	White	White
Not	Black	White
Not	White	White
Not	White	White
Not	White	White
Not	White	White
Not	White	White
Not	White	White
Not	White	Black
Not	White	Black
Death	White	White
Death	White	Black
Death	Black	Black
Not	Black	Black
Not	Black	Black
Not	White	Black
Not	Black	Black
Not	White	Black
Death	Black	Black
Not	Black	Black
Not	Black	Black
Not	Black	Black
Not	White	White
Not	Black	Black
Not	White	Black
Not	Black	White
Not	Black	Black
Not	White	White
Not	Black	Black
Not	White	White
Not	Black	White
Not	White	White
Not	Black	Black
Not	White	White
Not	Black	Black
Not	Black	Black
Not	Black	Black
Not	White	White
Death	White	Black
Death	White	Black
Not	White	Black
Not	White	White
Not	White	White
Not	Black	Black
Not	Black	Black
Not	Black	Black
Not	White	White
Not	White	White
Not	Black	Black
Not	White	Black
Not	Black	Black
Not	Black	Black
Not	Black	Black
Not	White	Black
Not	Black	Black
Not	Black	Black
Not	White	White
Not	Black	White
Not	White	White
Not	Black	Black
Not	White	White
Not	White	White
Not	White	White
Not	White	Black
Not	White	Black
Not	White	White
Not	White	White
Not	Black	Black
Not	Black	Black
Not	White	Black
Not	White	White
Death	White	White
Death	White	White
Not	Black	Black
Not	White	White
Not	White	White
Not	Black	Black
Not	White	White
Not	White	Black
Not	White	Black
Not	Black	Black
Not	Black	Black
Not	Black	Black
Not	White	White
Not	White	White
Not	Black	Black
Not	White	White
Not	Black	Black
Not	White	Black
Not	Black	Black
Not	Black	Black
Not	Black	Black
Not	White	Black
Not	Black	Black
Not	White	Black
Not	White	White
Not	White	Black
Not	Black	Black
Not	White	Black
Not	White	White
Not	White	White
Death	Black	Black
Not	White	White
Not	White	White
Not	White	White
Not	Black	White
Not	White	White
Not	White	White
Not	Black	Black
Not	White	White
Not	White	White
Not	White	White
Not	White	Black
Not	White	Black
Not	Black	White
Not	Black	Black
Not	Black	Black
Not	White	White
Not	White	Black
Not	Black	Black
Not	Black	Black
Death	White	White
Not	White	White
Not	White	Black
Not	White	White
Not	White	Black
Not	Black	Black
Not	Black	Black
Not	White	White
Death	White	White
Not	Black	Black
Not	White	White
Not	White	Black
Not	White	Black
Not	Black	Black
Not	White	White
Not	White	White
Not	White	Black
Death	White	Black
Not	White	White
Not	White	Black
Death	White	White
Not	White	White
Not	White	White
Not	White	White
Not	Black	White
Not	White	Black
Death	Black	Black
Not	White	Black
Not	White	White
Not	White	White
Not	White	Black
Not	White	White
Not	White	Black
Not	White	White
Not	Black	Black
Not	White	Black
Not	Black	Black
Not	Black	Black
Not	White	White
Not	White	White
Not	White	Black
Not	White	White
Not	Black	Black
Not	White	White
Not	White	White
Not	White	White
Not	White	White
Not	Black	Black
Not	Black	Black
Not	Black	Black
Not	Black	Black
Death	White	White
Not	Black	Black
Not	White	White
Not	Black	Black
Not	White	White
Not	White	White
Not	Black	Black
Not	White	White
Not	White	White
Not	Black	Black
Not	Black	Black
Not	Black	Black
Not	White	Black
Not	Black	Black
Death	White	White
Death	Black	Black
Death	Black	Black
Death	White	White
Not	White	White
Not	White	White
Not	White	Black
Not	Black	Black
Not	White	White
Not	White	Black
Not	Black	Black
Death	White	White
Not	White	Black
Not	White	White
Not	Black	Black
Not	Black	Black
Not	White	White
Not	Black	Black
Not	White	White
Not	White	White
Not	White	White
Not	White	Black
Not	Black	Black
Not	White	White
Not	White	White
Not	White	Black
Not	White	White
Not	Black	Black
Not	Black	Black
Not	Black	Black
Not	White	White
Not	White	White
Not	White	Black
Not	Black	Black
Not	Black	White
Not	Black	Black
Not	White	White
Death	White	Black
Not	White	White
Not	White	Black
Not	White	White
Death	White	White
Not	White	Black
Not	White	White
Not	Black	Black
Death	White	White
Not	Black	Black
Not	White	White
Not	Black	Black
Death	White	Black
Not	White	White
Not	White	White
Not	White	White
Not	Black	Black
Death	White	Black
Not	Black	Black
Not	White	White
Not	Black	Black
Not	White	White
Not	White	Black
Not	White	White
Death	White	Black
Not	White	White
Not	Black	Black
Not	White	Black
Not	White	White
Not	Black	Black
Not	White	White
Not	Black	Black
Not	Black	Black
Not	Black	Black
Not	Black	Black
Death	White	White
Not	White	White
Not	White	Black
Not	White	White
Not	White	White
Not	White	White
Not	White	White
Not	White	White
Death	White	Black
Not	White	Black
Not	White	Black
Death	White	White
Not	White	White
Not	Black	Black
Not	White	Black
Not	White	White
Not	Black	Black
Not	Black	Black
Not	White	White
Not	White	White
Not	White	White
Not	Black	Black
Not	White	White
Death	White	Black
Death	White	White
Not	White	White
Not	White	Black
Not	Black	Black
Not	White	White
Not	Black	White
Not	White	White
Not	White	White
Death	White	White
Not	White	White
Not	Black	Black
Not	White	White
Not	White	White
Not	White	White
Not	White	White
Not	White	White
Not	White	White
Death	White	White
Not	White	White
Not	White	White
Not	White	White
Not	Black	Black
Not	Black	Black
Not	White	White
Not	White	White
Not	White	White
Not	White	White
Not	White	White
Death	White	White
Not	White	White
Not	White	Black
Not	White	Black
