Gender	Decision	School
Female	Admit	Law
Male	Deny	Business
Male	Admit	Business
Male	Deny	Business
Female	Deny	Law
Male	Deny	Business
Male	Admit	Business
Female	Admit	Business
Male	Admit	Business
Female	Admit	Business
Female	Admit	Business
Female	Admit	Business
Female	Admit	Law
Female	Admit	Business
Male	Admit	Business
Female	Admit	Business
Male	Admit	Business
Male	Admit	Business
Male	Admit	Business
Male	Deny	Law
Male	Admit	Business
Male	Admit	Business
Male	Admit	Business
Female	Admit	Business
Male	Admit	Business
Male	Deny	Business
Female	Admit	Business
Female	Admit	Law
Female	Deny	Law
Male	Admit	Business
Male	Deny	Law
Female	Deny	Law
Male	Admit	Business
Female	Admit	Law
Female	Deny	Law
Male	Admit	Business
Male	Deny	Law
Female	Deny	Law
Male	Admit	Business
Female	Admit	Law
Male	Admit	Business
Female	Admit	Business
Female	Admit	Business
Female	Deny	Law
Male	Admit	Business
Male	Deny	Law
Male	Admit	Business
Male	Deny	Business
Female	Deny	Law
Male	Admit	Business
Female	Admit	Law
Male	Admit	Business
Female	Admit	Law
Female	Admit	Business
Female	Admit	Law
Male	Admit	Business
Female	Deny	Law
Female	Admit	Law
Male	Admit	Business
Male	Admit	Business
Female	Admit	Business
Male	Deny	Law
Female	Admit	Law
Male	Admit	Business
Female	Deny	Law
Female	Deny	Law
Female	Deny	Law
Male	Admit	Business
Male	Admit	Business
Male	Admit	Business
Male	Admit	Business
Male	Admit	Business
Male	Admit	Business
Female	Admit	Business
Male	Admit	Business
Male	Admit	Business
Male	Admit	Business
Male	Admit	Business
Male	Admit	Business
Male	Deny	Law
Female	Deny	Law
Male	Admit	Business
Male	Deny	Business
Male	Admit	Business
Female	Deny	Law
Male	Admit	Business
Female	Deny	Law
Male	Admit	Business
Female	Admit	Business
Male	Admit	Business
Male	Deny	Business
Male	Admit	Business
Male	Deny	Business
Male	Admit	Business
Female	Admit	Business
Female	Deny	Law
Female	Deny	Law
Female	Deny	Law
Male	Admit	Business
Male	Deny	Law
Female	Admit	Business
Male	Admit	Business
Male	Deny	Business
Male	Admit	Business
Male	Admit	Business
Male	Deny	Law
Female	Admit	Business
Male	Admit	Business
Male	Admit	Business
Female	Deny	Law
Male	Admit	Business
Male	Admit	Business
Female	Admit	Business
Male	Admit	Business
Male	Admit	Business
Male	Admit	Business
Male	Admit	Business
Male	Admit	Business
Female	Deny	Law
Female	Deny	Law
Male	Deny	Business
Female	Admit	Business
Male	Deny	Law
Male	Admit	Business
Male	Admit	Business
Female	Admit	Business
Male	Admit	Business
Male	Admit	Business
Male	Deny	Business
Female	Deny	Law
Male	Admit	Business
Female	Admit	Business
Male	Deny	Law
Female	Admit	Business
Female	Deny	Law
Female	Deny	Law
Female	Admit	Law
Male	Deny	Business
Female	Deny	Law
Female	Admit	Law
Male	Admit	Business
Female	Deny	Law
Female	Deny	Law
Male	Deny	Law
Male	Admit	Business
Male	Admit	Business
Female	Admit	Law
Female	Admit	Business
Male	Deny	Law
Male	Deny	Law
Male	Admit	Business
Female	Admit	Business
Female	Deny	Business
Male	Deny	Law
Female	Admit	Business
Male	Admit	Business
Male	Admit	Business
Female	Admit	Law
Male	Admit	Business
Female	Admit	Law
Female	Admit	Business
Male	Admit	Business
Male	Admit	Business
Female	Deny	Law
Male	Deny	Business
Female	Admit	Business
Male	Admit	Business
Male	Admit	Business
Male	Admit	Business
Male	Admit	Business
Female	Admit	Business
Male	Admit	Business
Male	Admit	Business
Male	Deny	Law
Male	Admit	Business
Female	Admit	Business
Male	Deny	Law
Male	Admit	Business
Male	Admit	Business
Male	Deny	Business
Female	Admit	Law
Female	Deny	Law
Female	Admit	Business
Male	Admit	Business
Female	Deny	Law
Male	Admit	Business
Male	Admit	Business
Male	Deny	Law
Male	Deny	Law
Male	Admit	Business
Male	Admit	Business
Female	Admit	Business
Female	Admit	Business
Female	Deny	Law
Female	Deny	Law
Female	Admit	Business
Female	Admit	Business
Male	Admit	Business
Male	Deny	Business
Female	Deny	Law
Male	Admit	Business
Male	Admit	Business
Female	Admit	Law
Male	Deny	Business
Male	Admit	Business
Male	Admit	Business
Male	Admit	Business
Female	Admit	Business
Female	Deny	Law
Female	Deny	Law
Male	Deny	Business
Male	Admit	Business
Male	Deny	Law
Male	Deny	Law
Female	Admit	Business
Male	Admit	Business
Male	Admit	Business
Female	Admit	Law
Male	Admit	Business
Male	Admit	Business
Male	Deny	Law
Male	Admit	Business
Male	Admit	Business
Male	Deny	Law
Male	Admit	Business
Male	Deny	Business
Female	Admit	Law
Male	Admit	Business
Male	Admit	Business
Female	Admit	Business
Male	Deny	Business
Female	Deny	Law
Male	Admit	Business
Female	Deny	Business
Female	Admit	Business
Female	Deny	Law
Male	Deny	Business
