group	mass
1	0.237
1	0.277
1	0.241
1	0.142
1	0.109
1	0.209
1	0.238
1	0.277
1	0.261
1	0.227
1	0.171
1	0.235
1	0.276
1	0.234
1	0.255
1	0.296
1	0.239
1	0.266
1	0.296
1	0.217
1	0.238
1	0.21
1	0.295
1	0.193
1	0.218
1	0.263
1	0.305
1	0.257
1	0.351
1	0.245
1	0.226
1	0.276
1	0.317
1	0.31
1	0.223
1	0.229
1	0.192
1	0.201
1	0.211
2	0.212
2	0.188
2	0.263
2	0.253
2	0.261
2	0.265
2	0.135
2	0.17
2	0.203
2	0.241
2	0.257
2	0.155
2	0.215
2	0.285
2	0.198
2	0.266
2	0.178
2	0.244
2	0.19
2	0.212
2	0.29
2	0.253
2	0.249
2	0.253
2	0.268
2	0.19
2	0.196
2	0.22
2	0.246
2	0.145
2	0.247
2	0.14
2	0.241
