year	date
1917	11
1918	22
1919	14
1920	22
1921	22
1922	23
1923	20
1924	22
1925	16
1926	7
1927	23
1928	17
1929	16
1930	19
1931	21
1932	12
1933	19
1934	11
1935	26
1936	11
1937	23
1938	17
1939	10
1940	1
1941	14
1942	11
1943	9
1944	15
1945	27
1946	16
1947	14
1948	24
1949	25
1950	17
1951	11
1952	23
1953	10
1954	17
1955	20
1956	12
1957	16
1958	10
1959	19
1960	13
1961	16
1962	23
1963	16
1964	31
1965	18
1966	19
1967	15
1968	19
1969	9
1970	15
1971	19
1972	21
1973	15
1974	17
1975	21
1976	13
1977	17
1978	11
1979	11
1980	10
1981	11
1982	21
1983	10
1984	20
1985	23
1986	19
1987	16
1988	8
1989	12
1990	5
1991	12
1992	25
1993	4
1994	10
1995	7
1996	16
1997	11
1998	1
1999	10
2000	12
2001	19
2002	18
2003	10
2004	5
2005	9
