Education	SmokingStatus
University	Former
PrimarySchool	Nonsmoker
SecondarySchool	Heavy
University	Former
SecondarySchool	Heavy
SecondarySchool	Heavy
SecondarySchool	Former
University	Moderate
PrimarySchool	Heavy
PrimarySchool	Moderate
SecondarySchool	Moderate
PrimarySchool	Former
University	Moderate
SecondarySchool	Moderate
University	Moderate
SecondarySchool	Nonsmoker
University	Nonsmoker
PrimarySchool	Moderate
SecondarySchool	Former
University	Nonsmoker
University	Nonsmoker
PrimarySchool	Heavy
PrimarySchool	Former
University	Heavy
PrimarySchool	Heavy
SecondarySchool	Former
PrimarySchool	Nonsmoker
University	Nonsmoker
PrimarySchool	Heavy
University	Heavy
PrimarySchool	Heavy
PrimarySchool	Heavy
PrimarySchool	Nonsmoker
PrimarySchool	Nonsmoker
University	Former
University	Nonsmoker
PrimarySchool	Nonsmoker
University	Heavy
SecondarySchool	Heavy
PrimarySchool	Former
SecondarySchool	Former
PrimarySchool	Heavy
University	Nonsmoker
PrimarySchool	Heavy
PrimarySchool	Heavy
PrimarySchool	Nonsmoker
PrimarySchool	Moderate
PrimarySchool	Former
PrimarySchool	Heavy
PrimarySchool	Nonsmoker
PrimarySchool	Nonsmoker
SecondarySchool	Nonsmoker
PrimarySchool	Nonsmoker
PrimarySchool	Former
University	Nonsmoker
PrimarySchool	Former
PrimarySchool	Nonsmoker
PrimarySchool	Heavy
University	Nonsmoker
University	Former
University	Nonsmoker
PrimarySchool	Moderate
University	Heavy
PrimarySchool	Former
University	Former
PrimarySchool	Heavy
PrimarySchool	Former
SecondarySchool	Moderate
PrimarySchool	Moderate
PrimarySchool	Heavy
PrimarySchool	Moderate
University	Nonsmoker
PrimarySchool	Heavy
SecondarySchool	Nonsmoker
SecondarySchool	Moderate
PrimarySchool	Former
PrimarySchool	Former
PrimarySchool	Moderate
SecondarySchool	Nonsmoker
SecondarySchool	Nonsmoker
SecondarySchool	Heavy
University	Nonsmoker
SecondarySchool	Moderate
SecondarySchool	Moderate
University	Nonsmoker
University	Former
SecondarySchool	Moderate
PrimarySchool	Nonsmoker
PrimarySchool	Former
University	Moderate
University	Nonsmoker
University	Moderate
PrimarySchool	Moderate
PrimarySchool	Nonsmoker
PrimarySchool	Former
SecondarySchool	Moderate
PrimarySchool	Moderate
PrimarySchool	Moderate
PrimarySchool	Former
PrimarySchool	Former
University	Moderate
SecondarySchool	Former
University	Nonsmoker
University	Moderate
SecondarySchool	Moderate
SecondarySchool	Former
PrimarySchool	Nonsmoker
PrimarySchool	Former
SecondarySchool	Heavy
SecondarySchool	Nonsmoker
PrimarySchool	Nonsmoker
PrimarySchool	Former
SecondarySchool	Moderate
SecondarySchool	Former
PrimarySchool	Moderate
SecondarySchool	Heavy
PrimarySchool	Heavy
PrimarySchool	Heavy
University	Heavy
PrimarySchool	Heavy
PrimarySchool	Nonsmoker
SecondarySchool	Former
SecondarySchool	Heavy
PrimarySchool	Heavy
SecondarySchool	Nonsmoker
University	Moderate
PrimarySchool	Former
PrimarySchool	Former
PrimarySchool	Moderate
University	Moderate
PrimarySchool	Nonsmoker
University	Heavy
University	Former
PrimarySchool	Heavy
SecondarySchool	Former
SecondarySchool	Moderate
SecondarySchool	Heavy
University	Nonsmoker
University	Moderate
SecondarySchool	Former
SecondarySchool	Former
SecondarySchool	Nonsmoker
University	Nonsmoker
PrimarySchool	Nonsmoker
PrimarySchool	Nonsmoker
PrimarySchool	Moderate
University	Moderate
PrimarySchool	Former
SecondarySchool	Heavy
SecondarySchool	Former
PrimarySchool	Moderate
SecondarySchool	Moderate
SecondarySchool	Former
PrimarySchool	Nonsmoker
SecondarySchool	Nonsmoker
SecondarySchool	Nonsmoker
SecondarySchool	Moderate
University	Nonsmoker
PrimarySchool	Former
PrimarySchool	Former
University	Nonsmoker
University	Heavy
University	Nonsmoker
SecondarySchool	Moderate
PrimarySchool	Nonsmoker
SecondarySchool	Heavy
PrimarySchool	Moderate
SecondarySchool	Former
PrimarySchool	Moderate
University	Nonsmoker
PrimarySchool	Moderate
PrimarySchool	Moderate
SecondarySchool	Heavy
SecondarySchool	Nonsmoker
SecondarySchool	Nonsmoker
PrimarySchool	Moderate
University	Former
SecondarySchool	Former
PrimarySchool	Nonsmoker
University	Moderate
University	Nonsmoker
PrimarySchool	Nonsmoker
SecondarySchool	Moderate
PrimarySchool	Moderate
University	Heavy
PrimarySchool	Former
SecondarySchool	Nonsmoker
PrimarySchool	Nonsmoker
University	Former
University	Nonsmoker
PrimarySchool	Nonsmoker
University	Moderate
PrimarySchool	Former
SecondarySchool	Heavy
SecondarySchool	Moderate
SecondarySchool	Moderate
University	Former
PrimarySchool	Nonsmoker
SecondarySchool	Heavy
PrimarySchool	Nonsmoker
PrimarySchool	Former
SecondarySchool	Nonsmoker
University	Former
SecondarySchool	Nonsmoker
PrimarySchool	Moderate
PrimarySchool	Moderate
PrimarySchool	Moderate
SecondarySchool	Former
University	Nonsmoker
University	Moderate
University	Moderate
SecondarySchool	Heavy
SecondarySchool	Nonsmoker
SecondarySchool	Heavy
PrimarySchool	Heavy
PrimarySchool	Nonsmoker
PrimarySchool	Moderate
PrimarySchool	Former
University	Moderate
SecondarySchool	Former
PrimarySchool	Former
University	Nonsmoker
SecondarySchool	Nonsmoker
PrimarySchool	Former
PrimarySchool	Nonsmoker
University	Nonsmoker
SecondarySchool	Moderate
SecondarySchool	Nonsmoker
SecondarySchool	Moderate
University	Moderate
PrimarySchool	Nonsmoker
University	Nonsmoker
SecondarySchool	Nonsmoker
University	Nonsmoker
SecondarySchool	Nonsmoker
PrimarySchool	Moderate
University	Nonsmoker
SecondarySchool	Nonsmoker
SecondarySchool	Heavy
PrimarySchool	Nonsmoker
PrimarySchool	Former
PrimarySchool	Former
PrimarySchool	Heavy
PrimarySchool	Former
University	Moderate
PrimarySchool	Moderate
University	Moderate
PrimarySchool	Moderate
University	Heavy
University	Moderate
SecondarySchool	Former
PrimarySchool	Heavy
University	Former
PrimarySchool	Heavy
PrimarySchool	Nonsmoker
University	Moderate
University	Nonsmoker
PrimarySchool	Nonsmoker
PrimarySchool	Nonsmoker
University	Former
PrimarySchool	Heavy
University	Nonsmoker
SecondarySchool	Heavy
University	Moderate
PrimarySchool	Nonsmoker
PrimarySchool	Heavy
University	Moderate
University	Nonsmoker
SecondarySchool	Nonsmoker
SecondarySchool	Former
SecondarySchool	Heavy
PrimarySchool	Nonsmoker
SecondarySchool	Former
University	Former
University	Moderate
University	Nonsmoker
PrimarySchool	Moderate
University	Nonsmoker
University	Former
University	Moderate
PrimarySchool	Moderate
SecondarySchool	Former
PrimarySchool	Former
University	Nonsmoker
PrimarySchool	Nonsmoker
PrimarySchool	Former
SecondarySchool	Nonsmoker
PrimarySchool	Heavy
PrimarySchool	Former
PrimarySchool	Moderate
University	Former
SecondarySchool	Nonsmoker
SecondarySchool	Former
PrimarySchool	Moderate
PrimarySchool	Nonsmoker
University	Nonsmoker
PrimarySchool	Nonsmoker
PrimarySchool	Heavy
SecondarySchool	Former
SecondarySchool	Former
SecondarySchool	Former
SecondarySchool	Moderate
University	Former
SecondarySchool	Nonsmoker
PrimarySchool	Former
PrimarySchool	Former
SecondarySchool	Nonsmoker
SecondarySchool	Former
PrimarySchool	Moderate
PrimarySchool	Former
PrimarySchool	Former
SecondarySchool	Former
University	Nonsmoker
PrimarySchool	Former
SecondarySchool	Moderate
SecondarySchool	Former
PrimarySchool	Nonsmoker
University	Nonsmoker
PrimarySchool	Nonsmoker
University	Former
University	Former
University	Former
University	Heavy
SecondarySchool	Nonsmoker
SecondarySchool	Former
PrimarySchool	Former
University	Moderate
SecondarySchool	Former
PrimarySchool	Nonsmoker
University	Moderate
University	Nonsmoker
PrimarySchool	Nonsmoker
PrimarySchool	Former
University	Heavy
PrimarySchool	Moderate
SecondarySchool	Heavy
PrimarySchool	Nonsmoker
SecondarySchool	Nonsmoker
SecondarySchool	Moderate
PrimarySchool	Heavy
SecondarySchool	Heavy
University	Moderate
SecondarySchool	Nonsmoker
PrimarySchool	Former
PrimarySchool	Heavy
SecondarySchool	Heavy
University	Moderate
SecondarySchool	Nonsmoker
PrimarySchool	Heavy
SecondarySchool	Former
SecondarySchool	Moderate
University	Nonsmoker
University	Heavy
PrimarySchool	Nonsmoker
PrimarySchool	Heavy
PrimarySchool	Nonsmoker
University	Heavy
PrimarySchool	Former
SecondarySchool	Former
PrimarySchool	Nonsmoker
PrimarySchool	Moderate
University	Nonsmoker
PrimarySchool	Former
University	Moderate
SecondarySchool	Heavy
PrimarySchool	Moderate
University	Moderate
PrimarySchool	Former
University	Heavy
PrimarySchool	Nonsmoker
SecondarySchool	Nonsmoker
PrimarySchool	Nonsmoker
PrimarySchool	Former
PrimarySchool	Nonsmoker
University	Moderate
SecondarySchool	Heavy
PrimarySchool	Heavy
PrimarySchool	Former
SecondarySchool	Former
PrimarySchool	Nonsmoker
PrimarySchool	Nonsmoker
SecondarySchool	Former
PrimarySchool	Former
PrimarySchool	Former
University	Former
PrimarySchool	Former
University	Moderate
PrimarySchool	Heavy
