age	politics	count
18-30	stDem	60
18-30	wkDem	99
18-30	indDem	72
18-30	ind	152
18-30	indRep	53
18-30	wkRep	90
18-30	stRep	42
18-30	other	9
31-40	stDem	83
31-40	wkDem	126
31-40	indDem	56
31-40	ind	124
31-40	indRep	41
31-40	wkRep	85
31-40	stRep	56
31-40	other	12
41-55	stDem	113
41-55	wkDem	138
41-55	indDem	77
41-55	ind	149
41-55	indRep	50
41-55	wkRep	133
41-55	stRep	89
41-55	other	14
56-89	stDem	151
56-89	wkDem	148
56-89	indDem	62
56-89	ind	102
56-89	indRep	54
56-89	wkRep	138
56-89	stRep	127
56-89	other	13
