stat	time
Alabama	22.7
Alaska	18.9
Arizona	23.4
Arkansas	19.9
California	26.5
Colorado	22.9
Connecticut	23.6
Delaware	22.5
DistColumbia	28.4
Florida	24.8
Georgia	26.1
Hawaii	24.5
Idaho	19.5
Illinois	27.0
Indiana	21.2
Iowa	18.1
Kansas	17.5
Kentucky	22.1
Louisiana	23.3
Maine	22.6
Maryland	30.2
Massachusetts	26.0
Michigan	22.7
Minnesota	21.7
Mississippi	21.6
Missouri	23.3
Montana	16.9
Nebraska	16.5
Nevada	21.8
NewHampshire	24.6
NewJersey	28.5
NewMexico	19.4
NewYork	30.4
NorthCarolina	23.2
NorthDakota	15.4
Ohio	22.1
Oklahoma	19.1
Oregon	21.0
Pennsylvania	23.8
RhodeIsland	21.8
SouthCarolina	23.0
SouthDakota	15.2
Tennessee	23.4
Texas	23.7
Utah	19.7
Vermont	20.3
Virginia	25.8
Washington	24.8
WestVirginia	24.7
Wisconsin	20.4
Wyoming	17.5
