state	damage
Alabama	51.88
Alaska	0.00
Arizona	3.47
Arkansas	40.96
California	3.68
Colorado	4.62
Connecticut	2.26
Delaware	0.27
Florida	37.32
Georgia	51.68
Hawaii	0.34
Idaho	0.26
Illinois	62.94
Indiana	53.13
Iowa	49.51
Kansas	49.28
Kentucky	24.84
Louisiana	27.75
Maine	0.53
Maryland	2.33
Massachusetts	4.42
Michigan	29.88
Minnesota	84.84
Mississippi	43.62
Missouri	68.93
Montana	2.27
Nebraska	30.26
Nevada	0.10
NewHampshire	0.66
NewJersey	2.94
NewMexico	1.49
NewYork	15.73
NorthCarolina	14.90
NorthDakota	14.69
Ohio	44.36
Oklahoma	81.94
Oregon	5.52
Pennsylvania	17.11
PuertoRico	0.05
RhodeIsland	0.09
SouthCarolina	17.19
SouthDakota	10.64
Tennessee	23.47
Texas	88.60
Utah	3.57
Vermont	0.24
Virginia	7.42
Washington	2.37
WestVirginia	2.14
Wisconsin	31.33
Wyoming	1.78
