state	MDs
Alabama	202
Alaska	194
Arizona	196
Arkansas	194
California	252
Colorado	236
Connecticut	360
Delaware	242
Florida	237
Georgia	208
Hawaii	280
Idaho	161
Illinois	265
Indiana	207
Iowa	178
Kansas	210
Kentucky	219
Louisiana	258
Maine	250
Maryland	378
Massachusetts	427
Michigan	230
Minnesota	263
Mississippi	171
Missouri	233
Montana	215
Nebraska	230
Nevada	174
NewHampshire	251
NewJersey	305
NewMexico	222
NewYork	385
NorthCarolina	241
NorthDakota	228
Ohio	248
Oklahoma	163
Oregon	242
Pennsylvania	291
RhodeIsland	341
SouthCarolina	219
SouthDakota	201
Tennessee	250
Texas	204
Utah	200
Vermont	346
Virginia	253
Washington	250
WestVirginia	221
Wisconsin	256
Wyoming	176
D.C.	683
