pos	weight
QB	208
QB	195
QB	209
RB	185
RB	221
RB	221
RB	211
RB	206
RB	193
RB	235
RB	220
OL	308
OL	298
OL	285
OL	281
OL	286
OL	275
OL	293
OL	283
OL	337
OL	284
OL	325
OL	334
OL	325
OL	310
OL	290
OL	291
OL	254
WR	185
WR	183
WR	174
WR	162
WR	154
WR	188
WR	182
WR	215
WR	210
TE	224
TE	247
TE	215
KP	207
KP	192
KP	205
KP	179
KP	182
KP	207
KP	201
DB	193
DB	184
DB	177
DB	198
DB	185
DB	188
DB	188
DB	201
DB	181
DB	195
DB	187
LB	220
LB	230
LB	237
LB	237
LB	208
LB	220
LB	222
LB	199
DL	240
DL	286
DL	240
DL	232
DL	230
DL	270
DL	300
DL	246
DL	264
DL	267
DL	285
DL	263
DL	301
