species	mass	abund
LeastWeasel	0.14	1656.49
Ermine	0.16	406.66
SmallIndianMongoose	0.55	514.84
PineMarten	1.3	31.84
KitFox	2.02	15.96
ChannelIslandFox	2.16	145.94
ArcticFox	3.19	21.63
RedFox	4.6	32.21
Bobcat	10.0	9.75
CanadianLynx	11.2	4.79
EuropeanBadger	13.0	7.35
Coyote	13.0	11.65
EthiopianWolf	14.5	2.70
EurasianLynx	20.0	0.46
WildDog	25.0	1.61
Dhole	25.0	0.81
SnowLeopard	40.0	1.89
Wolf	46.0	0.62
Leopard	46.5	6.17
Cheetah	50.0	2.29
Puma	51.9	0.94
SpottedHyena	58.6	0.68
Lion	142.0	3.40
Tiger	181.0	0.33
PolarBear	310.0	0.60
