run	time	length
8903	10	0.6
8903	20	1.8
8903	30	2.9
8903	40	4.0
8903	50	5.0
8903	60	6.1
8903	70	7.9
8903	80	10.1
8903	90	10.9
8903	100	12.7
8903	110	14.4
8903	120	16.6
8903	130	18.1
8903	140	19.9
8903	150	21.0
8903	160	23.4
8903	170	24.7
8903	180	27.8
8905	10	0.3
8905	20	0.6
8905	30	1.0
8905	40	1.3
8905	50	3.2
8905	60	4.0
8905	70	5.3
8905	80	6.0
8905	90	6.9
8905	100	7.8
8905	110	8.3
8905	120	9.6
8905	130	10.4
8905	140	11.0
8905	150	11.9
8905	160	12.7
8905	170	13.9
8905	180	14.6
8905	190	15.8
8905	200	16.2
8905	210	17.9
8905	220	18.8
8905	230	19.9
8905	240	21.1
