time	distance	hand
115	190.70	right
96	138.52	right
110	165.08	right
100	126.19	right
111	163.19	right
101	305.66	right
111	176.15	right
106	162.78	right
96	147.87	right
96	271.46	right
95	40.25	right
96	24.76	right
96	104.80	right
106	136.80	right
100	308.60	right
113	279.80	right
123	125.51	right
111	329.80	right
95	51.66	right
108	201.95	right
240	190.70	left
190	138.52	left
170	165.08	left
125	126.19	left
315	163.19	left
240	305.66	left
141	176.15	left
210	162.78	left
200	147.87	left
401	271.46	left
320	40.25	left
113	24.76	left
176	104.80	left
211	136.80	left
238	308.60	left
316	279.80	left
176	125.51	left
173	329.80	left
210	51.66	left
170	201.95	left
