sex	drinks
F	2.5
F	9
F	1
M	7
M	7.5
F	3.5
F	2.5
F	3
M	8
M	15
M	3
F	1
F	3
M	4
M	1
F	3
M	5
M	11
F	3
M	4.5
M	6
M	4
F	3
F	2.5
M	10
F	2.5
M	16
M	4
F	5
F	3.5
M	8
F	5
M	5
F	1
F	2
F	1
M	9
M	7
M	7
F	7
F	3
F	7
M	3
F	4
M	5
M	6.5
M	1
F	4
F	6.5
M	12
M	4
M	6
F	4
F	3
F	6
F	5
M	8
M	8
F	3
F	8
M	4.5
M	10.5
M	8
F	6
F	6
M	6
M	10
M	1
F	3
M	9
F	6
M	8
F	8
M	7
M	8
M	15
F	3
M	3
F	4
F	7
M	10
M	7
F	4
F	5
M	4
M	6
F	3.5
F	4
F	2
F	1
F	5
M	5
M	2
M	10
F	5
F	3
M	7
M	9
M	5
M	8
F	3
F	6
M	7
F	4
M	3
M	7
F	2
F	7
F	7
F	7
M	6
F	3.5
M	4
F	3
F	2.5
F	10
F	5
F	4
F	9
F	8
M	5
M	2
F	1
M	5
F	6
M	5.5
F	2
F	5
M	9
F	2.5
F	3
F	4.5
F	9
M	10
F	5
M	10
M	4
M	8
M	4
F	4
F	4
M	2
M	4
F	3
M	12.5
F	4
F	6
F	7
M	3
F	4
M	15
F	5
F	1
M	2
F	5
F	3
F	4
M	6
F	10
M	3
F	7
F	3
M	4
M	3
F	4
F	4
F	4
F	4
M	10
F	2
M	6
F	1
M	4.5
M	5
F	2.5
F	2.5
