year	water
1936	1721
1937	1713
1938	1860
1939	1739
1940	1615
1941	1838
1942	1762
1943	1709
1944	1921
1945	1581
1946	1834
1947	1890
1948	1898
1949	1958
1950	1830
1951	1864
1952	1829
1953	1652
1954	1589
1955	1656
1956	1721
1957	1762
1958	1936
1959	1906
1960	1736
1961	1970
1962	1849
1963	1774
1964	1606
1965	1735
1966	1883
1967	1642
1968	1713
1969	1742
1970	1751
1971	1879
1972	1736
1973	1861
1974	2000
1975	1928
1976	1653
1977	1698
1978	2008
1979	1970
1980	1758
1981	1774
1982	1728
1983	1920
1984	1823
1985	1822
1986	1860
1987	1732
1988	1906
1989	1932
1990	1861
1991	1801
1992	1793
1993	1845
1994	1902
1995	1842
1996	1849
1997	2007
1998	1903
1999	1970
