dna	phyto
0.148	0.010
0.276	0.056
0.156	0.032
0.300	0.022
0.108	0.009
0.214	0.023
0.112	0.016
0.116	0.008
0.180	0.008
0.330	0.016
0.280	0.005
0.120	0.004
0.218	0.006
0.240	0.007
0.308	0.005
0.064	0.006
0.152	0.006
0.100	0.006
0.238	0.011
0.228	0.010
0.589	0.050
0.463	0.038
0.461	0.034
0.333	0.020
0.357	0.023
0.382	0.032
0.414	0.034
0.241	0.012
0.458	0.036
0.396	0.033
0.307	0.018
0.236	0.002
0.076	0.001
0.001	0.002
0.009	0
0.099	0
0.187	0.001
0.104	0.004
0.088	0.009
0.072	0.002
0.192	0.005
0.152	0.028
0.152	0.006
0.272	0.004
0.288	0.046
0.232	0.006
0.368	0.003
0.216	0.011
0.248	0.006
0.280	0.002
0.336	0.062
0.320	0.006
0.896	0.055
0.200	0.017
0.408	0.018
0.472	0.017
0.648	0.034
0.384	0.008
0.440	0.042
0.592	0.032
0.392	0.036
0.312	0.002
0.312	0.003
0.208	0.001
0.128	0.001
0.264	0.001
0.264	0.008
0.328	0.010
0.264	0.002
0.376	0.003
0.288	0.001
0.208	0.024
0.224	0.017
0.376	0.010
0.600	0.024
0.168	0.014
0.264	0.018
0.152	0.010
0.184	0.016
0.312	0.017
0.344	0.009
0.184	0.010
0.360	0.010
0.264	0.026
0.464	0.030
0.328	0.028
0.296	0.010
1.056	0.082
0.538	0.055
0.090	0.003
0.130	0.001
0.207	0.001
0.153	0.001
0.206	0.001
0.172	0.001
0.131	0.001
0.095	0
0.307	0.001
0.171	0.001
0.822	0.058
0.901	0.075
0.552	0.040
0.391	0.026
0.172	0.006
0.116	0.003
0.168	0.005
0.074	0
0.100	0.001
0.132	0.005
0.112	0.003
0.121	0.004
0.162	0.001
0.302	0.014
0.179	0.002
0.369	0.023
0.213	0.007
