obs	group	trees	species	richness
1	1	27	22	0.8148
2	1	22	18	0.8182
3	1	29	22	0.7586
4	1	21	20	0.9524
5	1	19	15	0.7895
6	1	33	21	0.6364
7	1	16	13	0.8125
8	1	20	13	0.6500
9	1	24	19	0.7917
10	1	27	13	0.4815
11	1	28	19	0.6786
12	1	19	15	0.7895
13	2	12	11	0.9167
14	2	12	11	0.9167
15	2	15	14	0.9333
16	2	9	7	0.7778
17	2	20	18	0.9000
18	2	18	15	0.8333
19	2	17	15	0.8824
20	2	14	12	0.8571
21	2	14	13	0.9286
22	2	2	2	1.0000
23	2	17	15	0.8824
24	2	19	8	0.4211
25	3	18	17	0.9444
26	3	4	4	1.0000
27	3	22	18	0.8182
28	3	15	14	0.9333
29	3	18	18	1.0000
30	3	19	15	0.7895
31	3	22	15	0.6818
32	3	12	10	0.8333
33	3	12	12	1.0000
