                             GENEMARK PREDICTIONS

Sequence: chrY:22407149-23158651
Sequence file: gm_sequence
Sequence length: 751503
GC Content:  40.15%
Window length: 96
Window step: 12
Threshold value: 0.500
---
Matrix: human_38.mat
Matrix author: Nikolai Ivanov
Matrix order: 5

List of Regions of interest
(regions from stop to stop codon w/ a signal in between)

  LEnd      REnd    Strand      Frame
--------  --------  ----------- -----
     362       679  complement  fr 1
     424       789  direct      fr 1
    1831      2232  complement  fr 3
    2262      2468  complement  fr 2
    3531      3746  direct      fr 3
    3770      4048  complement  fr 1
    3801      4283  direct      fr 3
    4161      4817  complement  fr 2
    5103      5354  complement  fr 2
    5203      5538  direct      fr 1
    5444      5668  complement  fr 1
    5726      6100  direct      fr 2
    5934      6176  direct      fr 3
    6661      6822  direct      fr 1
    7127      7375  direct      fr 2
    7737      7964  direct      fr 3
    8159      8305  direct      fr 2
    8443      8784  complement  fr 3
    8802      8966  direct      fr 3
    9249      9554  complement  fr 2
    9264      9509  direct      fr 3
    9715      9861  complement  fr 3
    9833     10081  direct      fr 2
    9985     10146  complement  fr 3
   10021     10344  direct      fr 1
   10191     10472  direct      fr 3
   10458     10766  complement  fr 2
   11003     11362  direct      fr 2
   11242     11397  direct      fr 1
   11355     11669  complement  fr 2
   11563     11796  direct      fr 1
   12086     12343  direct      fr 2
   12414     12641  direct      fr 3
   12688     13104  direct      fr 1
   12906     13226  direct      fr 3
   13121     13324  direct      fr 2
   13393     13671  direct      fr 1
   13599     14048  direct      fr 3
   14979     15227  complement  fr 2
   17993     18127  complement  fr 1
   18070     18249  complement  fr 3
   19196     19996  direct      fr 2
   19444     20493  complement  fr 3
   19705     19977  direct      fr 1
   19970     20332  complement  fr 1
   20387     20731  direct      fr 2
   20729     21304  direct      fr 2
   20834     21190  complement  fr 1
   21165     21464  complement  fr 2
   21687     22124  direct      fr 3
   21914     22222  direct      fr 2
   22591     22905  complement  fr 3
   22853     23005  complement  fr 1
   23094     23324  complement  fr 2
   23473     23760  direct      fr 1
   23600     23920  direct      fr 2
   23634     24119  direct      fr 3
   24149     24277  direct      fr 2
   24849     25052  complement  fr 2
   25175     25393  complement  fr 1
   28741     29115  complement  fr 3
   28791     29087  complement  fr 2
   29620     29823  complement  fr 3
   30483     30800  complement  fr 2
   34060     34314  direct      fr 1
   40781     40924  complement  fr 1
   41574     41813  direct      fr 3
   41741     41959  direct      fr 2
   42793     42993  direct      fr 1
   42822     43418  direct      fr 3
   43202     43411  complement  fr 1
   43388     43684  direct      fr 2
   43669     43965  direct      fr 1
   43704     44375  direct      fr 3
   43963     44262  direct      fr 1
   44121     44552  complement  fr 2
   44360     44680  direct      fr 2
   44695     45483  direct      fr 1
   44748     45152  direct      fr 3
   45376     45528  complement  fr 3
   45390     45740  complement  fr 2
   45530     46066  complement  fr 1
   45865     46152  direct      fr 1
   46014     46358  direct      fr 3
   48420     48587  complement  fr 2
   48594     48782  direct      fr 3
   52283     52657  complement  fr 1
   52333     52629  complement  fr 3
   53161     53364  complement  fr 3
   54024     54341  complement  fr 2
   56334     56489  complement  fr 2
   63732     63917  complement  fr 2
   64322     64465  complement  fr 1
   65115     65354  direct      fr 3
   65282     65500  direct      fr 2
   66233     66508  complement  fr 1
   66363     66959  direct      fr 3
   66460     66627  complement  fr 3
   66743     66952  complement  fr 1
   66760     67035  complement  fr 3
   66929     67225  direct      fr 2
   67210     67506  direct      fr 1
   67245     67916  direct      fr 3
   67504     67803  direct      fr 1
   67662     68093  complement  fr 2
   67901     68221  direct      fr 2
   67940     68128  complement  fr 1
   68236     69024  direct      fr 1
   68289     68693  direct      fr 3
   68917     69069  complement  fr 3
   68931     69281  complement  fr 2
   69071     69607  complement  fr 1
   69406     69693  direct      fr 1
   69555     69899  direct      fr 3
   71765     71959  direct      fr 2
   71961     72128  complement  fr 2
   72135     72323  direct      fr 3
   72288     72506  complement  fr 2
   75871     76110  complement  fr 3
   77758     77997  complement  fr 3
   79188     79352  complement  fr 2
   79438     79680  direct      fr 1
   79890     80078  direct      fr 3
   81812     82168  complement  fr 1
   82962     83162  direct      fr 3
   86389     86607  direct      fr 1
   86404     86673  complement  fr 3
   87218     87733  direct      fr 2
   87304     87615  direct      fr 1
   87555     87770  complement  fr 2
   87802     88035  complement  fr 3
   87843     88079  direct      fr 3
   88011     88442  complement  fr 2
   88207     88389  direct      fr 1
   88398     88787  direct      fr 3
   88576     88821  complement  fr 3
   88819     89031  complement  fr 3
   89227     89478  complement  fr 3
   89625     89786  direct      fr 3
   89689     89967  direct      fr 1
   90392     90583  complement  fr 1
   94182     94481  complement  fr 2
   94232     94387  direct      fr 2
   94582     94983  direct      fr 1
   96406     96543  direct      fr 1
   96486     96671  direct      fr 3
   96593     96793  direct      fr 2
   96738     96992  complement  fr 2
   97125     97412  complement  fr 2
   98743     99360  complement  fr 3
   99038     99202  direct      fr 2
   99168     99527  complement  fr 2
   99558     99785  direct      fr 3
   99859    100065  complement  fr 3
  100374    100544  direct      fr 3
  100598    101296  complement  fr 1
  101185    101439  complement  fr 3
  101437    101742  complement  fr 3
  101489    101749  complement  fr 1
  102036    102404  complement  fr 2
  102431    102826  direct      fr 2
  103046    103249  direct      fr 2
  103247    103645  direct      fr 2
  103351    103998  complement  fr 3
  104041    104460  direct      fr 1
  104881    105111  direct      fr 1
  105185    105457  direct      fr 2
  115263    115514  complement  fr 2
  116197    116661  complement  fr 3
  116318    116647  direct      fr 2
  116811    117011  complement  fr 2
  116893    117072  direct      fr 1
  116963    117229  complement  fr 1
  117312    117608  direct      fr 3
  118393    118617  direct      fr 1
  118533    118811  direct      fr 3
  118677    118904  complement  fr 2
  119230    119418  complement  fr 3
  119532    119762  complement  fr 2
  121882    122046  complement  fr 3
  122289    122450  direct      fr 3
  123790    123984  complement  fr 3
  124035    124196  complement  fr 2
  125038    125202  complement  fr 3
  125689    125859  complement  fr 3
  126741    126911  direct      fr 3
  128328    128618  direct      fr 3
  128549    128890  direct      fr 2
  133594    134223  complement  fr 3
  134221    134571  complement  fr 3
  134744    135445  complement  fr 1
  135361    135606  complement  fr 3
  135678    135839  direct      fr 3
  137158    137343  complement  fr 3
  137369    137578  complement  fr 1
  137576    137968  complement  fr 1
  142798    143184  complement  fr 3
  143268    143471  complement  fr 2
  143508    143918  complement  fr 2
  144197    144586  complement  fr 1
  145825    146325  direct      fr 1
  146226    146477  direct      fr 3
  146323    147309  direct      fr 1
  147285    147761  direct      fr 3
  147759    148379  direct      fr 3
  148753    149034  direct      fr 1
  151619    151849  direct      fr 2
  151710    151979  direct      fr 3
  151847    152152  direct      fr 2
  152150    152293  direct      fr 2
  157304    157483  direct      fr 2
  161126    161389  direct      fr 2
  161352    161489  direct      fr 3
  162292    162594  direct      fr 1
  162636    162962  direct      fr 3
  163154    163453  direct      fr 2
  163478    163984  direct      fr 2
  163794    163946  complement  fr 2
  164083    164427  direct      fr 1
  164515    164841  direct      fr 1
  164872    165321  complement  fr 3
  165355    165696  direct      fr 1
  165588    165977  direct      fr 3
  165790    165999  direct      fr 1
  166777    166959  direct      fr 1
  167786    168064  direct      fr 2
  168442    168606  direct      fr 1
  168973    169239  complement  fr 3
  169108    169320  direct      fr 1
  169833    170132  complement  fr 2
  171626    171826  direct      fr 2
  171813    172136  direct      fr 3
  172281    172547  complement  fr 2
  172771    172953  direct      fr 1
  180010    180237  direct      fr 1
  180453    180725  direct      fr 3
  180758    180976  direct      fr 2
  181130    181330  direct      fr 2
  181236    181451  direct      fr 3
  182412    182687  direct      fr 3
  182685    182903  direct      fr 3
  183404    183754  direct      fr 2
  183922    184152  complement  fr 3
